System,AIO,,,,,,
Version,0616,,,,,,
Index,Utterance,Intent,Model,Entity,,,
1,打開客廳電燈,HomeControl,1,開啟:打開,地點:客廳,電燈:電燈,
2,開啟廚房電燈,HomeControl,1,開啟:開啟,地點:廚房,電燈:電燈,
3,把客廳跟廚房的燈打開,HomeControl,1,地點:客廳,地點:廚房,電燈:燈,開啟:打開
4,點亮浴室的燈,HomeControl,1,開啟:點亮,地點:浴室,電燈:燈,
5,點浴室燈,HomeControl,1,開啟:點,地點:浴室,電燈:燈,
6,點燈,HomeControl,1,開啟:點,電燈:燈,,
7,開燈,HomeControl,1,開啟:開,電燈:燈,,
8,開客廳的燈,HomeControl,1,開啟:開,地點:客廳,電燈:燈,
9,把客廳全部的燈都打開,HomeControl,1,地點:客廳,數量:全部,電燈:燈,開啟:打開
10,開全部燈,HomeControl,1,開啟:開,數量:全部,電燈:燈,
11,把所有的燈都打開,HomeControl,1,數量:所有,電燈:燈,開啟:打開,
12,電燈打開,HomeControl,1,電燈:電燈,開啟:打開,,
13,關閉客廳電燈,HomeControl,1,關閉:關閉,地點:客廳,電燈:電燈,
14,關上廚房電燈,HomeControl,1,關閉:關上,地點:廚房,電燈:電燈,
15,把浴室和廚房的燈關掉,HomeControl,1,地點:浴室,地點:廚房,電燈:燈,關閉:關掉
16,關燈,HomeControl,1,關閉:關,電燈:燈,,
17,關客廳的燈,HomeControl,1,關閉:關,地點:客廳,電燈:燈,
18,電燈全部關掉,HomeControl,1,電燈:電燈,數量:全部,關閉:關掉,
19,把所有的燈都關掉,HomeControl,1,數量:所有,電燈:燈,關閉:關掉,
20,電燈關掉,HomeControl,1,電燈:電燈,關閉:關掉,,
21,調亮客廳電燈,HomeControl,1,調亮:調亮,地點:客廳,電燈:電燈,
22,電燈亮一點,HomeControl,1,電燈:電燈,調亮:亮一點,,
23,電燈調到最亮,HomeControl,1,電燈:電燈,最亮:最亮,,
24,廚房電燈變亮,HomeControl,1,地點:廚房,電燈:電燈,調亮:變亮,
25,燈亮一些,HomeControl,1,電燈:燈,調亮:亮一些,,
26,電燈亮度變亮,HomeControl,1,電燈:電燈,調亮:變亮,,
27,調暗客廳電燈,HomeControl,1,調暗:調暗,地點:客廳,電燈:電燈,
28,電燈暗一點,HomeControl,1,電燈:電燈,調暗:暗一點,,
29,電燈調到最暗,HomeControl,1,電燈:電燈,最暗:最暗,,
30,廚房電燈變暗,HomeControl,1,地點:廚房,電燈:電燈,調暗:變暗,
31,客廳電燈調成紅色,HomeControl,1,地點:客廳,電燈:電燈,顏色:紅色,
32,廚房燈轉成藍色,HomeControl,1,地點:廚房,電燈:燈,顏色:藍色,
33,浴室變成綠燈,HomeControl,1,地點:浴室,顏色:綠,電燈:燈,
34,全部的燈都變白色,HomeControl,1,數量:全部,電燈:燈,顏色:白色,
35,電扇關掉,HomeControl,1,電扇:電扇,關閉:關掉,,
36,關掉電扇,HomeControl,1,關閉:關掉,電扇:電扇,,
37,電扇打開,HomeControl,1,電扇:電扇,開啟:打開,,
38,打開電風扇,HomeControl,1,開啟:打開,電扇:電風扇,,
39,把客廳的電扇關閉,HomeControl,1,地點:客廳,電扇:電扇,關閉:關閉,
40,打開防盜系統,HomeControl,1,開啟:打開,防盜:防盜系統,,
41,開啟防盜系統,HomeControl,1,開啟:開啟,防盜:防盜系統,,
42,防盜裝置打開,HomeControl,1,防盜:防盜裝置,開啟:打開,,
43,防盜打開,HomeControl,1,防盜:防盜,開啟:打開,,
44,關掉防盜系統,HomeControl,1,關閉:關掉,防盜:防盜系統,,
45,關閉防盜系統,HomeControl,1,關閉:關閉,防盜:防盜系統,,
46,防盜裝置關掉,HomeControl,1,防盜:防盜裝置,關閉:關掉,,
47,防盜關閉,HomeControl,1,防盜:防盜,關閉:關閉,,
48,門鎖打開,HomeControl,1,門鎖:門鎖,開啟:打開,,
49,解開門鎖,HomeControl,1,開啟:解開,門鎖:門鎖,,
50,幫我開門,HomeControl,1,開啟:開,門鎖:門,,
51,幫我鎖門,HomeControl,1,關閉:鎖,門鎖:門,,
52,把門鎖起來,HomeControl,1,門鎖:門,關閉:鎖起來,,
53,幫我關門,HomeControl,1,關閉:關,門鎖:門,,
54,播放音樂,HomeControl,1,播放:播放,音樂:音樂,,
55,播放,HomeControl,1,播放:播放,,,
56,暫停音樂,HomeControl,1,暫停:暫停,音樂:音樂,,
57,暫停播放,HomeControl,1,暫停:暫停播放,,,
58,暫停,HomeControl,1,暫停:暫停,,,
59,停止播放,HomeControl,1,停止:停止播放,,,
60,停止音樂,HomeControl,1,停止:停止,音樂:音樂,,
61,停止,HomeControl,1,停止:停止,,,
62,播放上一首歌,HomeControl,1,播放:播放,前首:上一首,音樂:歌,
